Customer ID,Year,Quarter,Survey Date,Response Date,How likely are you to recommend insider to a friend or colleague ,How would you rate the value you gain from our company,How frequently are you using our platform,Please rate the overall quality of our products,Please rate the usability of the panel,Please rate your understanding of our reporting capabilities in the panel
CRM-651350,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-651350,2022,2,2022-04-01,2022-05-31,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-651350,2022,3,2022-07-01,2022-09-20,10,5,Once a Week,5,5,I am able to report everything easily
CRM-1165050,2022,1,2022-01-01,2022-03-21,8,4,Once a Day,4,5,I don't use it often
CRM-1165050,2022,2,2022-04-01,2022-05-31,8,5,Once a Day,5,5,I am able to report everything easily
CRM-303900,2022,1,2022-01-01,2022-02-01,9,5,Once a Week,5,4,I am able to report everything easily
CRM-303900,2022,2,2022-04-01,2022-06-09,9,4,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-303900,2022,1,2022-01-01,2022-03-30,8,4,Once a Day,4,4,I don't use it often
CRM-303900,2022,2,2022-04-01,2022-05-05,8,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-303900,2022,3,2022-07-01,2022-07-05,8,4,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-303900,2022,3,2022-07-01,2022-09-06,8,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1509500,2022,3,2022-07-01,2022-09-06,10,4,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-155550,2022,2,2022-04-01,2022-06-28,9,5,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-159200,2022,1,2022-01-01,2022-02-01,5,3,Once a Week,3,,I am able to report everything easily
CRM-159200,2022,1,2022-01-01,2022-03-01,8,5,Once a Day,4,4,I tried but could not find everything I need
CRM-159200,2022,3,2022-07-01,2022-08-09,6,4,Once a Day,4,5,I am able to report everything easily
CRM-159200,2022,3,2022-07-01,2022-08-09,10,4,Once a Week,4,4,I tried but could not find everything I need
CRM-1521250,2022,2,2022-04-01,2022-06-24,8,4,Once a Day,4,4,I am able to report everything easily
CRM-1521250,2022,3,2022-07-01,2022-09-28,10,5,Once a Day,5,5,I am able to report everything easily
CRM-1521250,2022,2,2022-04-01,2022-06-23,10,5,Once a Day,5,5,I tried but could not find everything I need
CRM-1521250,2022,3,2022-07-01,2022-09-28,10,5,Once a Week,5,5,"I can pull all the numbers, but don't understand them"
CRM-1337250,2022,3,2022-07-01,2022-09-16,9,5,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1337250,2022,2,2022-04-01,2022-05-26,9,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1337250,2022,1,2022-01-01,2022-03-01,9,4,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1337250,2022,1,2022-01-01,2022-03-21,9,4,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1337250,2022,2,2022-04-01,2022-05-31,10,5,Once a Day,5,4,I tried but could not find everything I need
CRM-1337250,2022,3,2022-07-01,2022-08-05,6,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-200350,2022,3,2022-07-01,2022-09-13,6,3,Once a Day,3,4,"I can pull all the numbers, but don't understand them"
CRM-1513300,2022,3,2022-07-01,2022-09-06,8,4,Once a Week,4,4,I am able to report everything easily
CRM-1513300,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,5,I am able to report everything easily
CRM-1513300,2022,3,2022-07-01,2022-09-14,8,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1450500,2022,2,2022-04-01,2022-06-27,5,4,Once a Day,3,3,I am able to report everything easily
CRM-1450500,2022,1,2022-01-01,2022-03-01,10,5,Once a Day,5,4,I am able to report everything easily
CRM-1450500,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,4,I am able to report everything easily
CRM-1450500,2022,2,2022-04-01,2022-06-30,10,5,Once a Day,5,4,I am able to report everything easily
CRM-1503600,2022,1,2022-01-01,2022-02-01,6,3,Once a Month,3,3,"I can pull all the numbers, but don't understand them"
CRM-246300,2022,1,2022-01-01,2022-02-01,10,5,Once a Month,5,5,I need someone from Insider team to provide me the report from the panel
CRM-246300,2022,3,2022-07-01,2022-09-27,9,4,Once a Week,4,4,I am able to report everything easily
CRM-1507300,2022,3,2022-07-01,2022-09-20,10,5,Once a Week,5,4,I tried but could not find everything I need
CRM-190300,2022,2,2022-04-01,2022-06-30,8,4,Once a Week,4,4,I am able to report everything easily
CRM-190300,2022,3,2022-07-01,2022-09-30,8,4,Once a Month,4,4,I don't use it often
CRM-158700,2022,2,2022-04-01,2022-06-29,8,4,Once a Week,4,3,"I can pull all the numbers, but don't understand them"
CRM-158700,2022,1,2022-01-01,2022-02-01,9,5,Once a Week,5,,I need someone from Insider team to provide me the report from the panel
CRM-158700,2022,1,2022-01-01,2022-03-31,10,5,Once a Day,5,4,I need someone from Insider team to provide me the report from the panel
CRM-158700,2022,3,2022-07-01,2022-08-09,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1514050,2022,3,2022-07-01,2022-08-30,8,5,Once a Day,4,4,I don't use it often
CRM-1514050,2022,3,2022-07-01,2022-08-22,10,5,Once a Day,5,5,I tried but could not find everything I need
CRM-1514050,2022,3,2022-07-01,2022-09-06,10,5,Once a Day,5,5,I am able to report everything easily
CRM-1492550,2022,1,2022-01-01,2022-03-31,8,5,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1531000,2022,3,2022-07-01,2022-09-05,5,2,Once a Month,3,2,I tried but could not find everything I need
CRM-1517500,2022,1,2022-01-01,2022-02-01,7,4,Once a Week,5,,I am able to report everything easily
CRM-1517500,2022,2,2022-04-01,2022-04-05,8,4,Once a Week,4,5,I am able to report everything easily
CRM-1517500,2022,3,2022-07-01,2022-09-05,7,4,Once a Week,4,5,I am able to report everything easily
CRM-732750,2022,3,2022-07-01,2022-09-15,4,2,Once a Day,3,3,"I can pull all the numbers, but don't understand them"
CRM-732750,2022,2,2022-04-01,2022-06-28,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-167000,2022,2,2022-04-01,2022-06-28,10,5,Once a Day,5,5,I tried but could not find everything I need
CRM-167000,2022,3,2022-07-01,2022-08-11,10,5,Once a Day,4,4,"I can pull all the numbers, but don't understand them"
CRM-167000,2022,3,2022-07-01,2022-09-05,8,4,Once a Day,4,4,"I can pull all the numbers, but don't understand them"
CRM-167000,2022,1,2022-01-01,2022-03-28,10,5,Once a Week,5,4,I tried but could not find everything I need
CRM-1461550,2022,2,2022-04-01,2022-04-18,8,4,Once a Day,4,4,I am able to report everything easily
CRM-1461550,2022,3,2022-07-01,2022-07-07,8,4,Once a Month,4,4,I don't use it often
CRM-1461550,2022,2,2022-04-01,2022-06-15,8,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1461550,2022,3,2022-07-01,2022-09-26,8,5,Once a Month,4,4,"I can pull all the numbers, but don't understand them"
CRM-1461550,2022,2,2022-04-01,2022-06-15,7,4,Once a Week,4,4,"I can pull all the numbers, but don't understand them"
CRM-1461550,2022,3,2022-07-01,2022-09-30,10,5,Once a Month,5,4,"I can pull all the numbers, but don't understand them"
CRM-618050,2022,2,2022-04-01,2022-05-17,0,1,Once a Day,1,1,I need someone from Insider team to provide me the report from the panel
CRM-618050,2022,3,2022-07-01,2022-07-05,0,1,Once a Day,1,1,I need someone from Insider team to provide me the report from the panel
CRM-618050,2022,1,2022-01-01,2022-02-01,5,3,Once a Day,3,,I don't use it often
CRM-1509900,2022,3,2022-07-01,2022-07-05,9,5,Once a Day,5,5,I am able to report everything easily
CRM-1509900,2022,1,2022-01-01,2022-02-01,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1509900,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1509900,2022,2,2022-04-01,2022-06-14,10,4,Once a Day,4,5,I am able to report everything easily
CRM-1511400,2022,1,2022-01-01,2022-02-01,10,5,Once a Day,4,5,I tried but could not find everything I need
CRM-1511400,2022,2,2022-04-01,2022-04-25,10,5,Once a Day,5,5,I don't use it often
CRM-1511400,2022,3,2022-07-01,2022-07-05,10,4,Once a Day,4,5,I am able to report everything easily
CRM-1511400,2022,2,2022-04-01,2022-06-13,9,4,Once a Day,4,4,I am able to report everything easily
CRM-157450,2022,2,2022-04-01,2022-04-15,9,5,Once a Day,5,4,I tried but could not find everything I need
CRM-157450,2022,3,2022-07-01,2022-08-05,9,4,Once a Week,4,4,I am able to report everything easily
CRM-157450,2022,1,2022-01-01,2022-03-31,6,3,Once a Week,4,3,I am able to report everything easily
CRM-157450,2022,2,2022-04-01,2022-04-18,6,3,Once a Day,4,5,I tried but could not find everything I need
CRM-157450,2022,3,2022-07-01,2022-09-12,7,3,Once a Day,4,5,I am able to report everything easily
CRM-1450750,2022,3,2022-07-01,2022-09-29,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1450750,2022,3,2022-07-01,2022-09-30,8,4,Once a Week,5,4,I tried but could not find everything I need
CRM-1450750,2022,3,2022-07-01,2022-09-19,9,5,Once a Week,4,4,I tried but could not find everything I need
CRM-796400,2022,3,2022-07-01,2022-09-29,7,4,Once a Week,3,4,I need someone from Insider team to provide me the report from the panel
CRM-1293200,2022,2,2022-04-01,2022-06-28,8,4,Once a Month,4,4,I don't use it often
CRM-1447100,2022,3,2022-07-01,2022-09-27,10,5,Once a Month,5,5,I am able to report everything easily
CRM-1447100,2022,3,2022-07-01,2022-09-27,10,5,Once a Day,5,5,I am able to report everything easily
CRM-1447650,2022,3,2022-07-01,2022-09-22,9,5,Once a Day,4,5,I am able to report everything easily
CRM-417150,2022,3,2022-07-01,2022-07-03,9,4,Once a Week,4,4,I am able to report everything easily
CRM-424350,2022,3,2022-07-01,2022-09-26,8,4,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-424350,2022,3,2022-07-01,2022-09-22,8,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-547500,2022,3,2022-07-01,2022-08-29,9,5,Once a Week,5,5,I don't use it often
CRM-1500900,2022,1,2022-01-01,2022-03-01,10,5,Once a Week,5,4,I don't use it often
CRM-1500900,2022,2,2022-04-01,2022-04-18,9,4,Once a Month,4,3,"I can pull all the numbers, but don't understand them"
CRM-1500900,2022,3,2022-07-01,2022-09-12,9,5,Once a Week,4,4,I am able to report everything easily
CRM-1500900,2022,3,2022-07-01,2022-09-09,10,5,Once a Week,5,4,I am able to report everything easily
CRM-166450,2022,1,2022-01-01,2022-03-30,10,5,Once a Week,0,5,I need someone from Insider team to provide me the report from the panel
CRM-166450,2022,2,2022-04-01,2022-05-24,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-166450,2022,3,2022-07-01,2022-09-19,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-166450,2022,1,2022-01-01,2022-03-28,9,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-166450,2022,2,2022-04-01,2022-06-27,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-166450,2022,3,2022-07-01,2022-09-21,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1516700,2022,3,2022-07-01,2022-09-30,8,4,Once a Week,5,4,I am able to report everything easily
CRM-1484950,2022,3,2022-07-01,2022-09-08,8,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1484950,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,5,3,I need someone from Insider team to provide me the report from the panel
CRM-1461000,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,4,,I tried but could not find everything I need
CRM-1461000,2022,3,2022-07-01,2022-08-09,3,2,Once a Month,2,2,"I can pull all the numbers, but don't understand them"
CRM-1461800,2022,2,2022-04-01,2022-04-20,8,5,Once a Week,5,5,I am able to report everything easily
CRM-1468700,2022,2,2022-04-01,2022-04-04,7,4,Once a Week,4,3,I don't use it often
CRM-1468700,2022,2,2022-04-01,2022-04-26,7,4,Once a Week,4,3,I am able to report everything easily
CRM-1468700,2022,3,2022-07-01,2022-07-05,7,4,Once a Week,4,4,I am able to report everything easily
CRM-1468700,2022,3,2022-07-01,2022-08-05,7,4,Once a Week,4,4,I tried but could not find everything I need
CRM-1468700,2022,3,2022-07-01,2022-09-20,7,4,Once a Week,4,4,I tried but could not find everything I need
CRM-1468700,2022,3,2022-07-01,2022-07-14,7,3,Once a Week,4,4,I don't use it often
CRM-532950,2022,1,2022-01-01,2022-02-01,10,5,Once a Week,5,5,I am able to report everything easily
CRM-532950,2022,3,2022-07-01,2022-09-13,10,5,Once a Day,5,5,I am able to report everything easily
CRM-596350,2022,1,2022-01-01,2022-02-01,10,5,Once a Day,5,5,I am able to report everything easily
CRM-596350,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,5,I am able to report everything easily
CRM-596350,2022,2,2022-04-01,2022-06-23,10,5,Once a Day,4,4,I am able to report everything easily
CRM-879300,2022,2,2022-04-01,2022-05-18,9,4,Once a Day,4,4,I tried but could not find everything I need
CRM-879300,2022,3,2022-07-01,2022-07-05,9,5,Once a Day,4,5,"I can pull all the numbers, but don't understand them"
CRM-879300,2022,2,2022-04-01,2022-05-31,10,5,Once a Month,5,4,I need someone from Insider team to provide me the report from the panel
CRM-879300,2022,3,2022-07-01,2022-09-12,9,4,Once a Month,4,3,I need someone from Insider team to provide me the report from the panel
CRM-561550,2022,1,2022-01-01,2022-03-30,10,3,Once a Day,3,3,I tried but could not find everything I need
CRM-561550,2022,2,2022-04-01,2022-05-17,8,4,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-561550,2022,3,2022-07-01,2022-09-14,8,4,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-561550,2022,2,2022-04-01,2022-06-30,10,4,Once a Day,5,4,I need someone from Insider team to provide me the report from the panel
CRM-561550,2022,3,2022-07-01,2022-07-05,10,4,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-615050,2022,3,2022-07-01,2022-09-09,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-782950,2022,2,2022-04-01,2022-06-22,8,3,Once a Month,4,4,"I can pull all the numbers, but don't understand them"
CRM-155950,2022,1,2022-01-01,2022-03-28,8,5,Once a Day,5,5,"I can pull all the numbers, but don't understand them"
CRM-155950,2022,1,2022-01-01,2022-03-28,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-155950,2022,3,2022-07-01,2022-09-27,10,5,Once a Day,5,5,I tried but could not find everything I need
CRM-156000,2022,3,2022-07-01,2022-09-21,9,5,Once a Day,5,4,I need someone from Insider team to provide me the report from the panel
CRM-424350,2022,2,2022-04-01,2022-06-10,8,5,Once a Month,5,5,I don't use it often
CRM-424550,2022,2,2022-04-01,2022-06-10,5,4,Once a Month,3,4,I don't use it often
CRM-547450,2022,2,2022-04-01,2022-06-17,9,4,Once a Week,4,4,I don't use it often
CRM-547500,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,4,4,I am able to report everything easily
CRM-547500,2022,1,2022-01-01,2022-03-31,6,3,Once a Day,3,3,I tried but could not find everything I need
CRM-1447200,2022,3,2022-07-01,2022-09-27,10,5,Once a Month,5,5,I am able to report everything easily
CRM-1447200,2022,2,2022-04-01,2022-06-10,9,4,Once a Month,4,4,I am able to report everything easily
CRM-1447200,2022,3,2022-07-01,2022-09-27,10,5,Once a Day,5,5,I am able to report everything easily
CRM-1447200,2022,1,2022-01-01,2022-03-21,9,5,Once a Week,5,3,I need someone from Insider team to provide me the report from the panel
CRM-513800,2022,2,2022-04-01,2022-06-15,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-349000,2022,1,2022-01-01,2022-02-01,9,5,Once a Month,4,4,I tried but could not find everything I need
CRM-349000,2022,1,2022-01-01,2022-03-21,9,5,Once a Month,4,4,I tried but could not find everything I need
CRM-349000,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,5,I am able to report everything easily
CRM-349050,2022,2,2022-04-01,2022-06-20,8,4,Once a Week,4,4,"I can pull all the numbers, but don't understand them"
CRM-1091300,2022,2,2022-04-01,2022-06-10,9,4,Once a Month,4,4,I tried but could not find everything I need
CRM-1091300,2022,2,2022-04-01,2022-06-10,9,5,Once a Week,4,3,I am able to report everything easily
CRM-1091300,2022,3,2022-07-01,2022-09-26,9,5,Once a Day,4,4,I am able to report everything easily
CRM-1091300,2022,1,2022-01-01,2022-03-31,9,5,Once a Day,5,5,I don't use it often
CRM-1091300,2022,3,2022-07-01,2022-09-22,9,5,Once a Day,4,5,I am able to report everything easily
CRM-908900,2022,2,2022-04-01,2022-06-10,10,5,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-417150,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,4,4,I don't use it often
CRM-417200,2022,2,2022-04-01,2022-06-10,9,5,Once a Week,5,5,I am able to report everything easily
CRM-424300,2022,3,2022-07-01,2022-09-22,8,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-424400,2022,2,2022-04-01,2022-06-16,6,3,Once a Week,4,2,I don't use it often
CRM-424400,2022,2,2022-04-01,2022-06-10,5,4,Once a Month,3,4,I don't use it often
CRM-424400,2022,2,2022-04-01,2022-06-10,8,5,Once a Month,5,5,I don't use it often
CRM-424400,2022,3,2022-07-01,2022-09-26,8,4,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-424450,2022,1,2022-01-01,2022-03-21,6,4,Once a Month,4,4,I don't use it often
CRM-424450,2022,1,2022-01-01,2022-03-21,7,4,Once a Month,4,3,I need someone from Insider team to provide me the report from the panel
CRM-1485750,2022,2,2022-04-01,2022-06-21,10,5,Once a Month,5,4,I don't use it often
CRM-1485850,2022,2,2022-04-01,2022-06-21,9,5,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1440050,2022,3,2022-07-01,2022-09-29,9,4,Once a Day,3,4,I am able to report everything easily
CRM-1440050,2022,1,2022-01-01,2022-03-31,9,4,Once a Day,4,4,I am able to report everything easily
CRM-1440050,2022,3,2022-07-01,2022-09-12,8,5,Once a Day,4,4,I am able to report everything easily
CRM-1440050,2022,2,2022-04-01,2022-06-27,9,4,Once a Week,4,3,I am able to report everything easily
CRM-739100,2022,1,2022-01-01,2022-03-01,10,5,Once a Week,5,5,I am able to report everything easily
CRM-305050,2022,1,2022-01-01,2022-03-31,8,5,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-305050,2022,3,2022-07-01,2022-09-30,8,5,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-305050,2022,2,2022-04-01,2022-06-23,8,4,Once a Week,4,5,I am able to report everything easily
CRM-305050,2022,2,2022-04-01,2022-04-19,7,3,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-305050,2022,2,2022-04-01,2022-06-26,6,3,Once a Month,3,3,I tried but could not find everything I need
CRM-1509800,2022,2,2022-04-01,2022-05-20,10,5,Once a Month,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1509800,2022,1,2022-01-01,2022-02-01,9,5,Once a Month,5,,I am able to report everything easily
CRM-1489950,2022,1,2022-01-01,2022-03-21,7,3,Once a Week,3,3,I tried but could not find everything I need
CRM-1489950,2022,1,2022-01-01,2022-03-01,5,3,Once a Week,3,2,"I can pull all the numbers, but don't understand them"
CRM-1489950,2022,1,2022-01-01,2022-03-21,5,3,Once a Week,3,2,"I can pull all the numbers, but don't understand them"
CRM-1489950,2022,2,2022-04-01,2022-05-02,5,3,Once a Week,3,2,I tried but could not find everything I need
CRM-182200,2022,2,2022-04-01,2022-06-29,9,4,Once a Month,5,4,I need someone from Insider team to provide me the report from the panel
CRM-182200,2022,3,2022-07-01,2022-09-27,10,5,Once a Month,5,5,I need someone from Insider team to provide me the report from the panel
CRM-182200,2022,3,2022-07-01,2022-09-06,9,5,Once a Week,5,4,I need someone from Insider team to provide me the report from the panel
CRM-182200,2022,1,2022-01-01,2022-02-01,10,5,Once a Day,5,5,I don't use it often
CRM-387600,2022,1,2022-01-01,2022-03-01,9,4,Once a Month,4,4,"I can pull all the numbers, but don't understand them"
CRM-387600,2022,2,2022-04-01,2022-06-07,8,3,Once a Month,4,4,I don't use it often
CRM-387600,2022,1,2022-01-01,2022-02-01,9,5,Once a Day,5,4,I tried but could not find everything I need
CRM-387600,2022,2,2022-04-01,2022-05-20,8,3,Once a Week,4,4,I am able to report everything easily
CRM-387600,2022,3,2022-07-01,2022-09-05,7,3,Once a Day,4,4,I tried but could not find everything I need
CRM-1454650,2022,1,2022-01-01,2022-03-01,9,4,Once a Week,4,3,I tried but could not find everything I need
CRM-1454650,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,4,3,I tried but could not find everything I need
CRM-1454650,2022,2,2022-04-01,2022-04-19,9,5,Once a Week,4,3,I don't use it often
CRM-1454650,2022,2,2022-04-01,2022-06-23,9,5,Once a Week,4,4,I don't use it often
CRM-1454650,2022,3,2022-07-01,2022-09-25,8,4,Once a Week,5,5,I am able to report everything easily
CRM-1465950,2022,1,2022-01-01,2022-03-01,9,4,Once a Month,4,4,I am able to report everything easily
CRM-1465950,2022,1,2022-01-01,2022-03-21,9,4,Once a Month,4,4,I am able to report everything easily
CRM-1465950,2022,2,2022-04-01,2022-05-30,9,4,Once a Month,4,4,I don't use it often
CRM-1465950,2022,3,2022-07-01,2022-08-16,9,4,Once a Month,4,4,I am able to report everything easily
CRM-1465950,2022,2,2022-04-01,2022-06-13,5,3,Once a Week,3,3,I don't use it often
CRM-1465950,2022,3,2022-07-01,2022-08-05,9,5,Once a Week,5,5,I don't use it often
CRM-1456450,2022,1,2022-01-01,2022-02-01,8,4,Once a Day,4,4,I tried but could not find everything I need
CRM-1456450,2022,2,2022-04-01,2022-06-16,10,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1456450,2022,1,2022-01-01,2022-03-01,9,4,Once a Week,5,4,I am able to report everything easily
CRM-439300,2022,3,2022-07-01,2022-08-31,6,4,Once a Day,4,4,I am able to report everything easily
CRM-439300,2022,1,2022-01-01,2022-03-21,9,4,Once a Day,4,4,I don't use it often
CRM-439300,2022,3,2022-07-01,2022-08-23,8,3,Once a Day,3,3,I don't use it often
CRM-439300,2022,1,2022-01-01,2022-03-21,9,4,Once a Day,4,4,I don't use it often
CRM-1507250,2022,3,2022-07-01,2022-09-02,9,4,Once a Week,4,3,I don't use it often
CRM-1507250,2022,1,2022-01-01,2022-03-01,8,5,Once a Month,5,,I am able to report everything easily
CRM-1485050,2022,3,2022-07-01,2022-08-10,5,2,Once a Week,2,2,"I can pull all the numbers, but don't understand them"
CRM-1485050,2022,1,2022-01-01,2022-03-01,10,5,Once a Day,4,5,I need someone from Insider team to provide me the report from the panel
CRM-1485050,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,4,5,I need someone from Insider team to provide me the report from the panel
CRM-1485050,2022,3,2022-07-01,2022-09-12,8,3,Once a Week,3,5,I am able to report everything easily
CRM-161800,2022,2,2022-04-01,2022-06-30,5,3,Once a Day,3,4,"I can pull all the numbers, but don't understand them"
CRM-1522100,2022,3,2022-07-01,2022-08-09,10,4,Once a Week,4,4,I tried but could not find everything I need
CRM-1468750,2022,3,2022-07-01,2022-08-30,7,4,Once a Day,4,4,I am able to report everything easily
CRM-1285150,2022,2,2022-04-01,2022-06-29,10,5,Once a Day,4,5,I am able to report everything easily
CRM-1285150,2022,3,2022-07-01,2022-09-30,7,4,Once a Day,4,4,I am able to report everything easily
CRM-1285150,2022,3,2022-07-01,2022-08-31,7,4,Once a Day,4,4,I am able to report everything easily
CRM-1434650,2022,2,2022-04-01,2022-06-01,10,5,Once a Day,5,5,I am able to report everything easily
CRM-1434650,2022,3,2022-07-01,2022-09-22,8,5,Once a Week,4,5,I am able to report everything easily
CRM-1495950,2022,3,2022-07-01,2022-09-13,10,5,Once a Week,5,4,I am able to report everything easily
CRM-775950,2022,2,2022-04-01,2022-06-22,9,4,Once a Week,4,4,I don't use it often
CRM-775950,2022,1,2022-01-01,2022-03-01,8,4,Once a Week,4,,I am able to report everything easily
CRM-775950,2022,1,2022-01-01,2022-03-21,8,4,Once a Week,4,,I am able to report everything easily
CRM-775950,2022,2,2022-04-01,2022-06-22,9,4,,4,5,I am able to report everything easily
CRM-788700,2022,3,2022-07-01,2022-08-17,9,5,Once a Day,5,5,"I can pull all the numbers, but don't understand them"
CRM-1442050,2022,1,2022-01-01,2022-02-01,6,4,Once a Week,3,3,I don't use it often
CRM-1487800,2022,1,2022-01-01,2022-03-01,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1487800,2022,1,2022-01-01,2022-03-21,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1487800,2022,3,2022-07-01,2022-08-15,8,4,Once a Week,3,3,"I can pull all the numbers, but don't understand them"
CRM-1487800,2022,2,2022-04-01,2022-06-22,7,4,Once a Week,4,4,I am able to report everything easily
CRM-1487800,2022,3,2022-07-01,2022-08-25,8,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1553850,2022,3,2022-07-01,2022-09-07,8,5,Once a Day,5,5,I am able to report everything easily
CRM-1441000,2022,2,2022-04-01,2022-06-30,10,5,Once a Week,5,5,I don't use it often
CRM-1441000,2022,3,2022-07-01,2022-09-05,0,1,Once a Month,1,4,"I can pull all the numbers, but don't understand them"
CRM-316250,2022,2,2022-04-01,2022-06-28,10,5,Once a Week,5,5,I am able to report everything easily
CRM-316250,2022,3,2022-07-01,2022-09-12,9,4,Once a Day,5,4,I am able to report everything easily
CRM-316250,2022,3,2022-07-01,2022-08-23,10,5,Once a Day,5,4,I tried but could not find everything I need
CRM-316250,2022,1,2022-01-01,2022-03-01,10,5,Once a Day,5,5,I am able to report everything easily
CRM-316250,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,5,I am able to report everything easily
CRM-316250,2022,2,2022-04-01,2022-06-27,10,5,Once a Day,5,5,I am able to report everything easily
CRM-414650,2022,1,2022-01-01,2022-03-01,9,4,Once a Month,5,4,I tried but could not find everything I need
CRM-414650,2022,1,2022-01-01,2022-03-21,9,4,Once a Month,5,4,I tried but could not find everything I need
CRM-414650,2022,2,2022-04-01,2022-06-02,9,4,Once a Month,5,4,I am able to report everything easily
CRM-414650,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,4,4,I am able to report everything easily
CRM-414650,2022,2,2022-04-01,2022-05-17,9,4,Once a Day,4,4,I am able to report everything easily
CRM-414650,2022,3,2022-07-01,2022-08-30,8,4,Once a Day,4,4,I am able to report everything easily
CRM-796050,2022,1,2022-01-01,2022-03-21,8,4,Once a Week,4,4,I am able to report everything easily
CRM-796050,2022,2,2022-04-01,2022-04-21,7,4,Once a Week,4,3,I tried but could not find everything I need
CRM-796050,2022,3,2022-07-01,2022-09-27,8,5,Once a Week,4,4,I tried but could not find everything I need
CRM-205900,2022,2,2022-04-01,2022-05-10,10,5,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-205900,2022,3,2022-07-01,2022-09-26,8,4,Once a Month,3,4,I tried but could not find everything I need
CRM-205900,2022,3,2022-07-01,2022-09-26,7,3,Once a Week,3,4,I need someone from Insider team to provide me the report from the panel
CRM-205900,2022,1,2022-01-01,2022-03-21,8,4,Once a Day,4,3,I need someone from Insider team to provide me the report from the panel
